GameOver TIMESTEP: 2506, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.682755e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9119999999999986, Standard Deviation Of Score: 0.0863481325796913, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2556, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 3.735770e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.911764705882352, Standard Deviation Of Score: 0.08551357838179001, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2606, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.903106e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9115384615384605, Standard Deviation Of Score: 0.08470275209825062, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2656, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.209054e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9113207547169804, Standard Deviation Of Score: 0.08391455078466795, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2706, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.437760e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9111111111111105, Standard Deviation Of Score: 0.08314794192830953, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2756, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.053966e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9109090909090902, Standard Deviation Of Score: 0.0824019577718154, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2807, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.282896e-02, Episode Reward: 3.9999999999999982, Average Reward: 3.9124999999999983, Standard Deviation Of Score: 0.08251082180105629, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2857, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.134095e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9122807017543844, Standard Deviation Of Score: 0.0818003033464893, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2907, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 2.967235e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.91206896551724, Standard Deviation Of Score: 0.08110781714716575, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 2957, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.896118e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9118644067796597, Standard Deviation Of Score: 0.08043261367935343, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
